,Households,Population,Total_rooms,Total_bedrooms,Longitude,Latitude,Median_income,Median_house_value,Ocean_proximity
0,1.0,13.0,8.0,1.0,-122.5,37.79,15.0001,500001.0,NEAR BAY
1,2.0,8.0,6.0,2.0,-116.95,33.86,1.625,55000.0,INLAND
2,2.0,6.0,2.0,2.0,-117.79,35.21,2.375,137500.0,INLAND
3,2.0,28.0,49.0,7.0,-119.54,36.51,4.625,162500.0,INLAND
4,3.0,5.0,18.0,3.0,-114.62,33.62,0.536,275000.0,INLAND
5,3.0,9.0,42.0,10.0,-116.76,34.14,0.536,42500.0,INLAND
6,3.0,8.0,16.0,4.0,-117.12,32.66,1.125,60000.0,NEAR OCEAN
7,3.0,11.0,15.0,3.0,-122.37,37.6,5.048,350000.0,NEAR OCEAN
8,4.0,3.0,18.0,6.0,-118.44,34.04,0.536,350000.0,<1H OCEAN
9,4.0,8.0,18.0,4.0,-122.06,37.39,3.75,375000.0,NEAR BAY
10,4.0,17.0,70.0,7.0,-118.43,33.97,7.7197,500001.0,<1H OCEAN
11,4.0,17.0,50.0,5.0,-121.96,37.13,15.0001,400000.0,<1H OCEAN
12,5.0,13.0,25.0,5.0,-117.19,32.75,0.536,162500.0,NEAR OCEAN
13,5.0,9.0,28.0,4.0,-120.85,37.75,1.625,85000.0,INLAND
14,5.0,23.0,24.0,6.0,-121.3,37.94,2.375,67500.0,INLAND
15,5.0,36.0,32.0,4.0,-122.0,37.0,2.625,137500.0,NEAR OCEAN
16,5.0,15.0,20.0,5.0,-117.86,33.67,3.875,450000.0,<1H OCEAN
17,5.0,26.0,55.0,11.0,-119.55,36.51,4.125,67500.0,INLAND
18,5.0,13.0,30.0,4.0,-122.14,37.5,15.0001,500001.0,NEAR BAY
19,6.0,15.0,15.0,5.0,-118.04,33.9,0.4999,162500.0,<1H OCEAN
20,6.0,20.0,54.0,9.0,-118.42,34.16,0.536,375000.0,<1H OCEAN
21,6.0,8.0,18.0,3.0,-117.76,35.22,1.625,275000.0,INLAND
22,6.0,20.0,50.0,10.0,-121.24,37.9,2.625,137500.0,INLAND
23,6.0,7460.0,19.0,5.0,-121.98,38.32,10.2264,137500.0,INLAND
24,7.0,18.0,12.0,4.0,-122.29,37.81,0.4999,67500.0,NEAR BAY
25,7.0,14.0,40.0,10.0,-118.12,34.71,1.125,225000.0,INLAND
26,7.0,46.0,24.0,6.0,-117.75,34.06,1.625,67500.0,INLAND
27,7.0,25.0,40.0,8.0,-118.05,34.02,2.125,375000.0,<1H OCEAN
28,7.0,14.0,32.0,7.0,-118.44,34.04,2.1875,225000.0,<1H OCEAN
29,7.0,32.0,22.0,11.0,-118.27,33.76,3.125,112500.0,NEAR OCEAN
30,7.0,4198.0,36.0,8.0,-120.51,40.41,5.5179,67500.0,INLAND
31,7.0,55.0,22.0,7.0,-118.21,34.02,7.5752,67500.0,<1H OCEAN
32,7.0,25.0,63.0,9.0,-117.61,34.02,7.7197,275000.0,INLAND
33,7.0,52.0,40.0,8.0,-121.89,37.42,7.7197,225000.0,<1H OCEAN
34,8.0,18.0,98.0,28.0,-123.17,40.31,0.536,14999.0,INLAND
35,8.0,34.0,37.0,11.0,-119.04,35.32,1.2,50000.0,INLAND
36,8.0,13.0,48.0,8.0,-120.13,35.87,2.375,71300.0,INLAND
37,8.0,27.0,48.0,12.0,-121.29,37.33,4.0,75000.0,INLAND
38,8.0,49.0,30.0,3.0,-117.27,34.17,4.625,250000.0,INLAND
39,8.0,32.0,84.0,14.0,-118.02,33.8,5.875,193800.0,<1H OCEAN
40,8.0,47.0,63.0,12.0,-118.17,33.89,7.2423,350000.0,<1H OCEAN
41,8.0,19.0,48.0,8.0,-122.49,38.0,7.7197,400000.0,NEAR BAY
42,9.0,166.0,19.0,19.0,-121.04,37.67,0.536,162500.0,INLAND
43,9.0,35.0,36.0,9.0,-118.2,34.02,1.625,175000.0,<1H OCEAN
44,9.0,14.0,25.0,5.0,-117.11,32.66,1.625,118800.0,NEAR OCEAN
45,9.0,22.0,45.0,8.0,-120.92,37.63,1.7679,450000.0,INLAND
46,9.0,21.0,21.0,7.0,-118.06,34.03,2.375,175000.0,<1H OCEAN
47,9.0,74.0,20.0,4.0,-121.47,38.51,3.625,80000.0,INLAND
48,9.0,23.0,54.0,9.0,-122.4,37.75,6.1359,225000.0,NEAR BAY
49,9.0,29.0,26.0,3.0,-119.23,34.25,8.0,275000.0,NEAR OCEAN
50,9.0,25.0,200.0,20.0,-121.96,37.74,15.0001,350000.0,<1H OCEAN
51,10.0,94.0,41.0,18.0,-122.71,38.91,1.375,55000.0,INLAND
52,10.0,27.0,32.0,8.0,-121.84,36.62,2.225,150000.0,<1H OCEAN
53,10.0,27.0,78.0,11.0,-117.03,33.89,3.125,187500.0,INLAND
54,10.0,24.0,65.0,17.0,-122.06,36.96,4.5,258300.0,NEAR OCEAN
55,10.0,34.0,45.0,11.0,-117.87,33.85,5.2949,350000.0,<1H OCEAN
56,10.0,41.0,51.0,12.0,-117.89,33.8,6.0224,187500.0,<1H OCEAN
57,10.0,41.0,48.0,6.0,-118.22,34.06,10.2264,112500.0,<1H OCEAN
58,11.0,30.0,1561.0,282.0,-120.1,38.91,1.875,500001.0,INLAND
59,11.0,23.0,44.0,6.0,-122.39,38.0,4.125,212500.0,NEAR BAY
60,11.0,26.0,32.0,9.0,-117.8,33.63,4.1944,270800.0,<1H OCEAN
61,11.0,49.0,67.0,15.0,-118.36,33.82,6.1359,330000.0,<1H OCEAN
62,12.0,30.0,66.0,11.0,-122.42,37.63,2.375,275000.0,NEAR OCEAN
63,12.0,27.0,106.0,18.0,-117.09,34.01,4.0556,131300.0,INLAND
64,13.0,44.0,102.0,19.0,-120.19,38.07,0.4999,162500.0,INLAND
65,13.0,43.0,102.0,17.0,-122.52,38.7,0.536,87500.0,INLAND
66,13.0,76.0,60.0,11.0,-117.3,34.1,2.5625,75000.0,INLAND
67,13.0,24.0,11.0,11.0,-118.44,34.28,2.875,162500.0,<1H OCEAN
68,13.0,132.0,148.0,28.0,-121.93,37.4,3.375,67500.0,<1H OCEAN
69,13.0,59.0,52.0,13.0,-117.11,33.12,3.875,200000.0,<1H OCEAN
70,13.0,20.0,70.0,38.0,-122.65,38.92,4.125,112500.0,INLAND
71,13.0,6532.0,118.0,17.0,-120.7,35.32,4.2639,350000.0,NEAR OCEAN
72,13.0,46.0,60.0,10.0,-119.83,36.72,4.35,67500.0,INLAND
73,13.0,55.0,80.0,10.0,-117.42,33.89,7.7197,193800.0,INLAND
74,14.0,47.0,69.0,28.0,-121.31,37.44,0.536,112500.0,INLAND
75,14.0,53.0,81.0,26.0,-117.92,34.63,1.4091,137500.0,INLAND
76,14.0,26.0,42.0,14.0,-121.9,37.39,1.7361,500001.0,<1H OCEAN
77,14.0,29.0,343.0,85.0,-116.5,33.82,2.1042,87500.0,INLAND
78,14.0,39.0,56.0,7.0,-117.22,33.87,2.625,500001.0,INLAND
79,14.0,64.0,40.0,10.0,-121.32,37.94,2.625,55000.0,INLAND
80,14.0,39.0,45.0,11.0,-117.08,34.08,3.0625,500001.0,INLAND
81,14.0,46.0,96.0,14.0,-117.12,34.1,3.2708,162500.0,INLAND
82,14.0,51.0,60.0,12.0,-120.96,37.64,3.625,67500.0,INLAND
83,14.0,29.0,102.0,17.0,-121.52,39.12,4.125,72000.0,INLAND
84,14.0,66.0,38.0,8.0,-117.99,33.81,4.1667,162500.0,<1H OCEAN
85,14.0,30.0,120.0,16.0,-121.28,38.63,10.2264,350000.0,INLAND
86,15.0,29.0,97.0,24.0,-114.67,33.92,1.2656,27500.0,INLAND
87,15.0,31.0,95.0,13.0,-122.22,37.88,2.4444,475000.0,NEAR BAY
88,15.0,51.0,52.0,16.0,-119.32,34.35,2.475,225000.0,NEAR OCEAN
89,15.0,64.0,77.0,12.0,-117.17,33.83,4.6,187500.0,INLAND
90,15.0,36.0,1988.0,511.0,-120.08,38.8,4.625,162500.0,INLAND
91,15.0,32.0,83.0,15.0,-117.95,35.08,4.875,141700.0,INLAND
92,15.0,69.0,57.0,22.0,-119.05,34.13,5.0066,275000.0,NEAR OCEAN
93,16.0,44.0,62.0,9.0,-117.75,34.06,0.4999,112500.0,INLAND
94,16.0,28.0,958.0,245.0,-121.25,40.27,2.625,67500.0,INLAND
95,16.0,309.0,40.0,10.0,-119.09,34.22,4.0208,52500.0,NEAR OCEAN
96,16.0,60.0,50.0,9.0,-117.37,34.07,4.125,262500.0,INLAND
97,16.0,55.0,81.0,41.0,-120.5,38.87,4.9583,87500.0,INLAND
98,16.0,29.0,49.0,14.0,-118.23,33.76,5.0,87500.0,NEAR OCEAN
99,16.0,74.0,48.0,14.0,-118.3,34.17,5.0056,162500.0,<1H OCEAN
100,16.0,30.0,96.0,18.0,-115.8,33.26,5.3374,47500.0,INLAND
101,16.0,37.0,154.0,,-119.11,35.42,10.0263,200000.0,INLAND
102,16.0,58.0,91.0,12.0,-121.87,37.46,15.0001,500001.0,<1H OCEAN
103,17.0,37.0,99.0,25.0,-115.95,33.28,1.8958,53800.0,INLAND
104,17.0,29.0,84.0,12.0,-118.48,34.47,3.375,187500.0,<1H OCEAN
105,17.0,43.0,108.0,18.0,-117.19,33.53,3.475,187500.0,<1H OCEAN
106,17.0,32.0,104.0,20.0,-118.25,34.09,3.75,241700.0,<1H OCEAN
107,17.0,35.0,388.0,108.0,-121.78,40.12,6.1359,106300.0,INLAND
108,17.0,63.0,74.0,19.0,-121.98,37.14,9.5908,350000.0,<1H OCEAN
109,18.0,47.0,90.0,18.0,-121.0,37.67,1.125,87500.0,INLAND
110,18.0,36.0,430.0,107.0,-119.95,38.95,2.625,187500.0,INLAND
111,18.0,39.0,116.0,20.0,-119.48,35.17,3.125,37500.0,INLAND
112,18.0,50.0,124.0,22.0,-117.44,33.96,12.5381,112500.0,INLAND
113,19.0,26.0,411.0,114.0,-122.89,39.42,0.4999,73500.0,INLAND
114,19.0,119.0,88.0,21.0,-121.5,38.59,1.725,67500.0,INLAND
115,19.0,68.0,98.0,20.0,-122.42,37.64,2.225,212500.0,NEAR OCEAN
116,19.0,55.0,120.0,27.0,-122.38,37.73,2.625,187500.0,NEAR BAY
117,19.0,69.0,105.0,20.0,-118.41,34.0,3.9643,275000.0,<1H OCEAN
118,19.0,65.0,60.0,10.0,-122.05,37.97,6.1359,250000.0,NEAR BAY
119,20.0,1275.0,152.0,19.0,-117.33,33.97,1.625,162500.0,INLAND
120,20.0,150.0,72.0,16.0,-118.48,34.02,2.625,250000.0,<1H OCEAN
121,20.0,50.0,123.0,21.0,-121.32,37.96,2.7656,50000.0,INLAND
122,20.0,51.0,346.0,130.0,-119.57,37.94,3.4861,137500.0,INLAND
123,20.0,50.0,69.0,16.0,-121.29,38.01,3.75,120800.0,INLAND
124,20.0,51.0,208.0,49.0,-115.88,32.93,4.0208,32500.0,INLAND
125,20.0,100.0,138.0,23.0,-118.37,33.96,4.875,175000.0,<1H OCEAN
